accountId,assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
159020918,5,27,5,1,3,2,5805,6533,0
134556694,15,75,4,3,1,2,7996,7915,1
132851371,9,97,8,1,20,2,11401,12211,1
106573901,12,74,9,2,54,2,15561,14859,1
159020918,17,110,2,1,4,2,10752,8050,1
134556694,13,53,4,1,50,2,23855,32847,0
132851371,22,40,10,1,141,2,42583,45110,0
106573901,19,17,15,2,233,2,58858,50981,0
159020918,13,88,4,3,16,2,29875,20585,0
134556694,17,85,2,1,6,2,12643,9952,1
132851371,15,72,7,3,122,2,19620,21710,1
106573901,8,19,6,2,39,2,19479,17743,1
159020918,14,91,2,3,35,2,17779,9704,1
132851371,14,11,12,2,108,22,31891,29372,1
134556694,10,53,2,3,47,2,14024,19927,1
132851371,10,110,12,1,62,2,29024,31407,1
106573901,13,17,11,2,223,2,38067,35468,1
159020918,22,7,0,1,40,2,27020,15865,1
134556694,19,75,2,1,19,2,13582,10097,1
132851371,16,33,5,3,87,2,20266,21416,1
106573901,5,59,5,2,54,2,18829,19871,1
159020918,16,7,7,3,11,2,15595,11786,1
134556694,16,3,2,3,3,2,12990,8557,1
132851371,13,72,9,1,84,2,22029,22303,1
106573901,9,23,7,2,53,2,20345,17698,1
159020918,17,91,5,1,33,2,18764,10791,1
134556694,19,3,1,1,2,2,15776,9610,1
132851371,9,97,6,3,35,2,21170,18133,1
106573901,16,106,6,2,21,2,27925,23074,1
159020918,16,25,4,3,54,2,19901,16365,1
134556694,21,85,3,1,5,2,13172,10172,1
132851371,15,33,4,3,45,2,18965,19552,1
106573901,18,17,13,2,114,2,23827,18931,1
159020918,14,112,6,3,9,2,13862,12793,1
134556694,8,66,3,4,47,2,14036,12682,0
132851371,12,33,6,3,78,2,23108,24236,0
106573901,8,23,10,2,60,2,23965,21032,0
159020918,7,107,4,3,2,2,13404,8981,0
134556694,27,66,1,1,118,2,27220,19054,1
132851371,15,19,8,3,65,2,37587,30406,1
106573901,20,74,12,2,81,2,37008,33186,1
159020918,18,7,2,1,40,2,21197,15695,1
132851371,11,93,18,3,111,22,43142,41760,0
132851371,1,106,5,2,41,22,12739,9990,0
132851371,19,106,16,2,37,22,28550,26296,1
132851371,6,73,6,2,184,22,26438,35704,0
132851371,5,17,12,2,60,22,29134,21791,0
132851371,9,109,12,1,168,22,26455,30173,1
132851371,9,10,24,1,72,22,41813,47614,1
132851371,8,10,7,3,46,22,14244,15009,1
132851371,18,63,15,3,72,22,37606,29173,1
132851371,28,112,0,0,0,2,13079,10500,1
132851371,14,58,0,0,0,2,15948,13915,1
132851371,3,10,3,3,6,22,5940,8927,1
132851371,10,92,11,3,11,2,6262,10268,1
132851371,6,106,14,2,86,22,27783,27472,1
132851371,2,11,4,2,58,22,12076,10746,0
132851371,13,17,13,2,153,22,37330,29882,1
132851371,4,1,17,3,118,22,32208,24705,0
132851371,13,11,21,2,104,22,38013,31857,0
132851371,11,97,5,3,21,22,18718,16558,0
132851371,29,97,6,1,68,22,31510,26004,1
132851371,8,97,7,3,58,22,26512,20505,1
132851371,9,56,22,1,123,22,41314,27369,0
132851371,4,109,6,3,48,22,16623,14642,0
132851371,31,67,21,1,104,22,51755,56206,0
132851371,10,12,12,3,116,22,23644,22168,1
132851371,1,38,0,1,0,22,1984,2254,0
132851371,12,10,22,1,99,22,30825,41176,1
132851371,9,10,10,1,13,22,19937,15950,0
132851371,3,97,0,3,11,22,6215,6215,0
89117038,1,7,2,3,3,22,4670,3540,0
132851371,2,10,3,2,0,22,7172,5934,0
132851371,4,11,9,2,69,22,21406,17405,0
132851371,6,56,16,1,39,22,17329,14914,1
132851371,5,109,8,1,92,22,12723,14452,1
132851371,11,11,10,2,82,22,18910,20519,1
132851371,2,92,5,1,79,22,10957,10645,0
132851371,31,97,6,1,59,22,35838,31643,1
132851371,4,11,5,2,119,22,19807,18270,0
132851371,22,7,8,2,5,22,22370,14340,1
132851371,11,114,7,1,54,22,22019,20061,0
132851371,12,70,10,3,67,22,18054,18337,1
132851371,19,63,12,3,100,22,34506,25989,1
132851371,2,12,4,3,65,22,15019,15800,1
132851371,9,12,1,3,24,22,9010,8656,0
132851371,14,10,22,1,53,22,34000,30541,1
132851371,28,106,18,2,67,22,42465,43507,1
132851371,9,12,18,1,80,22,25154,23849,1
132851371,21,63,14,1,46,22,30991,23181,1
132851371,8,14,5,3,10,22,11324,7549,0
132851371,7,12,3,1,47,22,8301,10743,1
132851371,13,12,12,3,172,22,30328,34498,1
132851371,20,92,5,1,112,22,30184,23897,1
132851371,18,42,4,3,128,22,30593,23689,0
132851371,11,10,15,1,103,22,30130,24355,0
132851371,15,73,7,1,203,22,31320,45365,1
132851371,13,1,14,3,232,22,34011,38117,1
132851371,0,11,2,2,0,22,3754,3414,1
132851371,7,46,4,2,80,22,22085,17366,0
132851371,13,92,7,3,96,22,26416,17340,0
132851371,18,92,16,3,111,22,29117,19063,1
132851371,2,92,1,2,75,22,9076,6593,0
132851371,12,6,12,3,169,22,31430,29710,1
132851371,5,92,4,3,57,22,18197,15273,0
132851371,12,8,11,3,56,22,26612,22873,0
132851371,4,106,4,2,16,22,14561,11619,0
132851371,6,10,15,1,31,22,23858,23700,1
132851371,7,12,12,3,178,22,27755,26693,1
132851371,26,41,12,1,80,22,32480,29281,1
132851371,10,11,12,2,178,22,29986,26086,0
132851371,11,11,11,2,115,22,34963,26408,0
132851371,5,25,3,2,39,22,11598,10624,0
132851371,1,63,6,3,19,22,11131,12525,1
132851371,13,109,4,1,193,22,26680,29854,0
132851371,16,106,11,2,118,22,31078,28634,1
132851371,3,17,1,2,24,22,6473,5553,0
132851371,16,56,15,2,95,22,28983,27118,1
132851371,9,10,15,2,103,22,33504,26074,0
132851371,4,11,23,2,44,22,25402,24868,1
132851371,11,11,6,2,77,22,18392,15869,0
132851371,9,70,18,2,23,22,24481,19781,1
132851371,3,43,3,2,24,22,11247,9629,0
132851371,26,22,10,2,22,22,26682,19663,1
132851371,9,25,8,2,97,22,26729,19311,0
132851371,15,11,16,2,157,22,34838,32409,0
132851371,12,12,19,1,114,22,36680,38354,0
132851371,15,45,3,2,10,22,18735,19088,1
132851371,7,114,1,2,43,22,16528,14656,0
132851371,12,73,10,2,124,22,25532,29672,1
132851371,10,25,11,2,98,22,26488,20413,0
132851371,12,106,14,2,58,22,34741,26953,0
132851371,14,70,21,2,75,22,37383,36360,0
132851371,11,92,17,1,176,22,27352,23991,1
132851371,1,11,3,2,86,22,12488,10275,0
132851371,13,11,14,2,139,22,36292,29624,1
132851371,6,9,11,2,65,22,24932,21878,0
132851371,13,46,30,2,107,22,40132,38760,1
132851371,9,11,17,2,164,22,38799,29204,0
132851371,0,8,0,3,6,22,4798,5071,0
132851371,17,73,9,2,196,22,33430,45643,0
111620041,23,73,9,2,249,2,28290,43368,1
86745912,13,9,13,1,38,2,29083,27869,1
94155156,18,31,6,3,6,2,16946,12371,1
41231571,16,40,7,3,19,2,23901,24181,1
25907144,25,20,2,1,0,2,16806,10830,1
134556694,18,3,5,1,7,2,13444,10690,0
132851371,7,70,11,2,69,2,30297,23201,0
106573901,13,45,3,3,52,2,27496,22968,0
92423451,8,19,8,1,43,2,21987,21661,0
159020918,9,112,7,3,9,2,15358,14565,0
134556694,25,53,0,3,29,2,10508,9421,1
132851371,10,36,14,3,24,2,13148,14857,1
106573901,10,19,11,2,20,2,14468,12786,1
92423451,16,42,6,1,18,2,14028,11440,1
159020918,13,119,2,1,8,2,9887,6677,1
73562326,5,85,4,3,0,2,7014,5357,0
134556694,11,5,1,1,13,2,8444,6819,0
132851371,5,36,4,1,39,2,16253,16536,0
106573901,2,19,6,2,43,2,15122,14274,0
92423451,8,9,3,3,79,2,12790,11730,0
159020918,11,103,2,3,2,2,12472,7773,0
111620041,9,17,12,2,111,2,19751,17843,1
86745912,15,6,4,3,91,2,18585,17454,1
94155156,18,75,2,3,5,2,14098,10564,1
41231571,12,45,7,1,14,2,16712,15900,1
25907144,18,66,1,1,36,2,10070,10176,1
73562326,19,20,2,3,1,2,15011,9280,0
134556694,29,3,3,1,3,2,26087,14284,1
132851371,17,61,13,1,102,2,27841,27413,1
106573901,23,4,16,2,89,2,29295,27969,1
92423451,19,19,20,3,36,2,29680,23649,1
159020918,27,119,7,3,7,2,20356,14284,1
73562326,14,103,0,3,3,2,9765,7706,1
134556694,7,111,0,1,19,2,8767,5647,0
132851371,6,72,5,3,118,2,12979,15132,0
106573901,3,49,0,2,37,2,12979,10015,0
92423451,2,58,3,1,15,2,9828,9984,0
159020918,7,91,3,3,34,2,12230,6645,0
132851371,13,8,13,1,82,22,29468,27732,0
101356886,25,119,12,3,7,22,23305,17533,1
134556694,20,75,8,1,8,2,13172,10039,1
132851371,13,70,13,1,76,2,24991,19864,1
106573901,8,56,16,2,87,2,26664,20363,1
92423451,17,33,4,3,41,2,15592,16447,1
159020918,16,7,2,2,14,2,16767,10751,1
134556694,34,20,1,3,8,2,24466,15743,1
132851371,10,56,17,1,128,2,29937,27769,1
106573901,18,74,7,2,49,2,30092,29215,1
92423451,14,63,18,3,90,2,28595,30298,1
159020918,22,83,3,1,3,2,20956,13626,1
125581247,8,109,6,1,128,2,22942,23967,1
106863163,6,25,13,2,95,2,23755,21422,1
94296097,16,75,4,1,11,2,11559,11559,1
101695162,20,100,4,3,6,2,15730,12761,1
94738847,9,63,6,3,77,2,15412,14811,1
134556694,5,3,3,3,12,2,7494,6963,0
132851371,4,42,7,3,57,2,15907,15695,0
106573901,6,73,3,2,138,2,15695,25381,0
92423451,4,9,1,1,11,2,10852,10852,0
159020918,5,23,0,1,2,2,10004,6433,0
125581247,6,6,6,3,127,2,18191,22472,1
106863163,10,17,5,2,108,2,24533,23344,1
94296097,12,85,1,3,10,2,12484,9234,1
101695162,13,20,1,1,26,2,15060,10383,1
94738847,7,36,4,1,71,2,16210,14822,1
134556694,15,3,4,3,13,2,12920,9710,0
132851371,14,92,9,3,129,2,24731,21798,0
106573901,12,19,9,2,55,2,19222,17676,0
92423451,15,33,5,1,71,2,18865,17597,0
159020918,20,23,1,1,27,2,14902,11057,0
41231571,2,33,0,3,26,22,3980,5087,0
